t=5.53s -> Pos=(12.95) m, Vel=(1.91) m/s, Acel=(-0.07) m/s^2
t=5.57s -> Pos=(13.02) m, Vel=(1.91) m/s, Acel=(0.01) m/s^2
t=5.60s -> Pos=(13.08) m, Vel=(1.91) m/s, Acel=(0.11) m/s^2
t=5.63s -> Pos=(13.15) m, Vel=(1.91) m/s, Acel=(0.21) m/s^2
t=5.67s -> Pos=(13.20) m, Vel=(1.93) m/s, Acel=(0.25) m/s^2
t=5.70s -> Pos=(13.27) m, Vel=(1.94) m/s, Acel=(0.22) m/s^2
t=5.73s -> Pos=(13.34) m, Vel=(1.95) m/s, Acel=(0.15) m/s^2
t=5.77s -> Pos=(13.40) m, Vel=(1.95) m/s, Acel=(0.04) m/s^2
t=5.80s -> Pos=(13.47) m, Vel=(1.95) m/s, Acel=(-0.09) m/s^2
t=5.83s -> Pos=(13.53) m, Vel=(1.94) m/s, Acel=(-0.21) m/s^2
t=5.87s -> Pos=(13.60) m, Vel=(1.94) m/s, Acel=(-0.31) m/s^2
t=5.90s -> Pos=(13.66) m, Vel=(1.92) m/s, Acel=(-0.36) m/s^2
t=5.93s -> Pos=(13.72) m, Vel=(1.91) m/s, Acel=(-0.35) m/s^2
t=5.97s -> Pos=(13.79) m, Vel=(1.89) m/s, Acel=(-0.26) m/s^2
t=6.00s -> Pos=(13.85) m, Vel=(1.88) m/s, Acel=(-0.11) m/s^2
t=6.03s -> Pos=(13.91) m, Vel=(1.88) m/s, Acel=(0.02) m/s^2
t=6.07s -> Pos=(13.98) m, Vel=(1.89) m/s, Acel=(0.05) m/s^2
t=6.10s -> Pos=(14.03) m, Vel=(1.90) m/s, Acel=(-0.06) m/s^2
t=6.13s -> Pos=(14.10) m, Vel=(1.90) m/s, Acel=(-0.31) m/s^2
t=6.17s -> Pos=(14.17) m, Vel=(1.89) m/s, Acel=(-0.63) m/s^2
t=6.20s -> Pos=(14.24) m, Vel=(1.86) m/s, Acel=(-0.89) m/s^2
t=6.23s -> Pos=(14.29) m, Vel=(1.81) m/s, Acel=(-0.99) m/s^2
t=6.27s -> Pos=(14.36) m, Vel=(1.77) m/s, Acel=(-0.91) m/s^2
t=6.30s -> Pos=(14.40) m, Vel=(1.74) m/s, Acel=(-0.69) m/s^2
t=6.33s -> Pos=(14.47) m, Vel=(1.72) m/s, Acel=(-0.45) m/s^2
t=6.37s -> Pos=(14.52) m, Vel=(1.72) m/s, Acel=(-0.31) m/s^2
t=6.40s -> Pos=(14.58) m, Vel=(1.72) m/s, Acel=(-0.35) m/s^2
t=6.43s -> Pos=(14.63) m, Vel=(1.71) m/s, Acel=(-0.57) m/s^2
t=6.47s -> Pos=(14.70) m, Vel=(1.69) m/s, Acel=(-0.86) m/s^2
t=6.50s -> Pos=(14.75) m, Vel=(1.65) m/s, Acel=(-1.10) m/s^2
t=6.53s -> Pos=(14.81) m, Vel=(1.60) m/s, Acel=(-1.15) m/s^2
t=6.57s -> Pos=(14.86) m, Vel=(1.55) m/s, Acel=(-0.99) m/s^2
t=6.60s -> Pos=(14.90) m, Vel=(1.51) m/s, Acel=(-0.67) m/s^2
t=6.63s -> Pos=(14.96) m, Vel=(1.50) m/s, Acel=(-0.32) m/s^2
t=6.67s -> Pos=(15.01) m, Vel=(1.51) m/s, Acel=(-0.09) m/s^2
t=6.70s -> Pos=(15.04) m, Vel=(1.52) m/s, Acel=(-0.07) m/s^2
t=6.73s -> Pos=(15.11) m, Vel=(1.52) m/s, Acel=(-0.23) m/s^2
t=6.77s -> Pos=(15.16) m, Vel=(1.51) m/s, Acel=(-0.43) m/s^2
t=6.80s -> Pos=(15.22) m, Vel=(1.48) m/s, Acel=(-0.55) m/s^2
t=6.83s -> Pos=(15.27) m, Vel=(1.45) m/s, Acel=(-0.55) m/s^2
t=6.87s -> Pos=(15.30) m, Vel=(1.43) m/s, Acel=(-0.47) m/s^2
t=6.90s -> Pos=(15.34) m, Vel=(1.43) m/s, Acel=(-0.41) m/s^2
t=6.93s -> Pos=(15.41) m, Vel=(1.43) m/s, Acel=(-0.49) m/s^2
t=6.97s -> Pos=(15.45) m, Vel=(1.41) m/s, Acel=(-0.75) m/s^2
t=7.00s -> Pos=(15.49) m, Vel=(1.38) m/s, Acel=(-1.10) m/s^2
t=7.03s -> Pos=(15.56) m, Vel=(1.34) m/s, Acel=(-1.37) m/s^2
t=7.07s -> Pos=(15.58) m, Vel=(1.27) m/s, Acel=(-1.47) m/s^2
t=7.10s -> Pos=(15.64) m, Vel=(1.21) m/s, Acel=(-1.38) m/s^2
t=7.13s -> Pos=(15.65) m, Vel=(1.17) m/s, Acel=(-1.17) m/s^2
t=7.17s -> Pos=(15.71) m, Vel=(1.14) m/s, Acel=(-0.90) m/s^2
t=7.20s -> Pos=(15.73) m, Vel=(1.12) m/s, Acel=(-0.68) m/s^2
t=7.23s -> Pos=(15.79) m, Vel=(1.10) m/s, Acel=(-0.57) m/s^2
t=7.27s -> Pos=(15.82) m, Vel=(1.08) m/s, Acel=(-0.58) m/s^2
t=7.30s -> Pos=(15.84) m, Vel=(1.07) m/s, Acel=(-0.67) m/s^2
t=7.33s -> Pos=(15.88) m, Vel=(1.05) m/s, Acel=(-0.83) m/s^2
t=7.37s -> Pos=(15.92) m, Vel=(1.02) m/s, Acel=(-1.02) m/s^2
t=7.40s -> Pos=(15.95) m, Vel=(0.98) m/s, Acel=(-1.17) m/s^2
t=7.43s -> Pos=(15.99) m, Vel=(0.93) m/s, Acel=(-1.19) m/s^2
t=7.47s -> Pos=(16.02) m, Vel=(0.88) m/s, Acel=(-1.08) m/s^2
t=7.50s -> Pos=(16.05) m, Vel=(0.84) m/s, Acel=(-0.86) m/s^2
t=7.53s -> Pos=(16.06) m, Vel=(0.82) m/s, Acel=(-0.59) m/s^2
t=7.57s -> Pos=(16.10) m, Vel=(0.81) m/s, Acel=(-0.37) m/s^2
t=7.60s -> Pos=(16.13) m, Vel=(0.81) m/s, Acel=(-0.26) m/s^2
t=7.63s -> Pos=(16.14) m, Vel=(0.81) m/s, Acel=(-0.26) m/s^2
t=7.67s -> Pos=(16.18) m, Vel=(0.80) m/s, Acel=(-0.28) m/s^2
t=7.70s -> Pos=(16.21) m, Vel=(0.78) m/s, Acel=(-0.26) m/s^2
t=7.73s -> Pos=(16.22) m, Vel=(0.77) m/s, Acel=(-0.15) m/s^2
t=7.77s -> Pos=(16.27) m, Vel=(0.76) m/s, Acel=(0.04) m/s^2
t=7.80s -> Pos=(16.28) m, Vel=(0.77) m/s, Acel=(0.22) m/s^2
t=7.83s -> Pos=(16.31) m, Vel=(0.78) m/s, Acel=(0.24) m/s^2
t=7.87s -> Pos=(16.32) m, Vel=(0.81) m/s, Acel=(0.03) m/s^2
t=7.90s -> Pos=(16.36) m, Vel=(0.82) m/s, Acel=(-0.35) m/s^2
t=7.93s -> Pos=(16.40) m, Vel=(0.79) m/s, Acel=(-0.83) m/s^2
t=7.97s -> Pos=(16.41) m, Vel=(0.75) m/s, Acel=(-1.24) m/s^2
t=8.00s -> Pos=(16.44) m, Vel=(0.69) m/s, Acel=(-1.41) m/s^2
t=8.03s -> Pos=(16.47) m, Vel=(0.63) m/s, Acel=(-1.28) m/s^2
t=8.07s -> Pos=(16.48) m, Vel=(0.58) m/s, Acel=(-0.98) m/s^2
t=8.10s -> Pos=(16.50) m, Vel=(0.56) m/s, Acel=(-0.65) m/s^2
t=8.13s -> Pos=(16.51) m, Vel=(0.56) m/s, Acel=(-0.41) m/s^2
t=8.17s -> Pos=(16.54) m, Vel=(0.56) m/s, Acel=(-0.37) m/s^2
t=8.20s -> Pos=(16.55) m, Vel=(0.55) m/s, Acel=(-0.50) m/s^2
t=8.23s -> Pos=(16.58) m, Vel=(0.53) m/s, Acel=(-0.69) m/s^2
t=8.27s -> Pos=(16.59) m, Vel=(0.49) m/s, Acel=(-0.80) m/s^2
t=8.30s -> Pos=(16.61) m, Vel=(0.45) m/s, Acel=(-0.79) m/s^2
t=8.33s -> Pos=(16.62) m, Vel=(0.42) m/s, Acel=(-0.67) m/s^2
t=8.37s -> Pos=(16.63) m, Vel=(0.41) m/s, Acel=(-0.52) m/s^2
t=8.40s -> Pos=(16.64) m, Vel=(0.40) m/s, Acel=(-0.41) m/s^2
t=8.43s -> Pos=(16.67) m, Vel=(0.39) m/s, Acel=(-0.37) m/s^2
t=8.47s -> Pos=(16.67) m, Vel=(0.38) m/s, Acel=(-0.38) m/s^2
t=8.50s -> Pos=(16.69) m, Vel=(0.36) m/s, Acel=(-0.39) m/s^2
t=8.53s -> Pos=(16.70) m, Vel=(0.35) m/s, Acel=(-0.38) m/s^2
t=8.57s -> Pos=(16.71) m, Vel=(0.34) m/s, Acel=(-0.39) m/s^2
t=8.60s -> Pos=(16.71) m, Vel=(0.33) m/s, Acel=(-0.43) m/s^2
t=8.63s -> Pos=(16.73) m, Vel=(0.32) m/s, Acel=(-0.49) m/s^2
t=8.67s -> Pos=(16.74) m, Vel=(0.30) m/s, Acel=(-0.56) m/s^2
t=8.70s -> Pos=(16.76) m, Vel=(0.27) m/s, Acel=(-0.63) m/s^2
t=8.73s -> Pos=(16.77) m, Vel=(0.25) m/s, Acel=(-0.66) m/s^2
