t=5.67s -> Pos=(9.87) m, Vel=(0.44) m/s, Acel=(-0.58) m/s^2
t=5.70s -> Pos=(9.89) m, Vel=(0.42) m/s, Acel=(-0.59) m/s^2
t=5.73s -> Pos=(9.90) m, Vel=(0.41) m/s, Acel=(-0.70) m/s^2
t=5.77s -> Pos=(9.91) m, Vel=(0.39) m/s, Acel=(-0.91) m/s^2
t=5.80s -> Pos=(9.92) m, Vel=(0.36) m/s, Acel=(-1.20) m/s^2
t=5.83s -> Pos=(9.95) m, Vel=(0.31) m/s, Acel=(-1.49) m/s^2
t=5.87s -> Pos=(9.95) m, Vel=(0.25) m/s, Acel=(-1.67) m/s^2
t=5.90s -> Pos=(9.97) m, Vel=(0.18) m/s, Acel=(-1.67) m/s^2
t=5.93s -> Pos=(9.96) m, Vel=(0.12) m/s, Acel=(-1.50) m/s^2
t=5.97s -> Pos=(9.96) m, Vel=(0.07) m/s, Acel=(-1.19) m/s^2
t=6.00s -> Pos=(9.96) m, Vel=(0.04) m/s, Acel=(-0.83) m/s^2
t=6.03s -> Pos=(9.97) m, Vel=(0.02) m/s, Acel=(-0.50) m/s^2
t=6.07s -> Pos=(9.97) m, Vel=(0.01) m/s, Acel=(-0.26) m/s^2
t=6.10s -> Pos=(9.97) m, Vel=(0.01) m/s, Acel=(-0.12) m/s^2
t=6.13s -> Pos=(9.97) m, Vel=(0.01) m/s, Acel=(-0.06) m/s^2
